ACCE_ABSORB_CHANCE	Absorption rate: %d%%
TRACK_BOSS_READY	[WorldBoss] %s is spawned!
TRACK_DUNGEON_COOLDOWN_FIELD	Dungeon Cooldown: %s
TRACK_DUNGEON_INFORMATION	Dungeon
TRACK_DUNGEON_INFORMATION_NOTICE	Notify Dungeon
TRACK_DUNGEON_KEY	Key
TRACK_DUNGEON_LEVEL_FIELD	Level: %d - %d
TRACK_DUNGEON_PARTY_FIELD	Party: %s
TRACK_DUNGEON_PARTY_NEED	Yes
TRACK_DUNGEON_PARTY_NOT_NEED	No
TRACK_DUNGEON_READY	[Dungeon] %s is available!
TRACK_STATUS_ALIVE	Alive    CH%d
TRACK_STATUS_AVAILABLE	Available
TRACK_STATUS_FIELD	Status: %s
TRACK_STATUS_FIELD_GO_BACK	Go back - 
TRACK_WB_1	General Wu
TRACK_WB_2	General You
TRACK_WB_3	General Chou
TRACK_WB_4	General Xu
TRACK_WB_5	General Chen
TRACK_WB_6	Dune Guardian
TRACK_WINDOW_TITLE	Dungeon Info and World Boss
UI_ACCEPT	Accept
UI_CANCEL	Cancel
UI_CLOSE	Close
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_SLARGE	Tahoma:13
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_XLARGE	Tahoma:20
UI_DEF_FONT_XXLARGE	Tahoma:34
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Decline
UI_ITEM	Item
UI_LEFT_TIME	Remaining time: %d sec.
UI_NEXT	Continue
UI_NEXTPAGE	Next
UI_NOCONTENTS	No content
UI_NONAME	No name
UI_OK	OK
UI_POS_UNKNOWN	Unknown Place
UI_PREVPAGE	Back
UI_UNKNOWN	Unknown
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	The upload has to be started again.
USE_ITEM_FAILURE_PRIVATE_SHOP	You cannot use items while you have a private shop open.
WIKI_CATEGORY_BOSSES	Bosses
WIKI_CATEGORY_CHESTS	Chests
WIKI_CATEGORY_COMPANION	Companion
WIKI_CATEGORY_COSTUMES	Costumes
WIKI_CATEGORY_EQUIPEMENT	Equipment
WIKI_CATEGORY_GUIDES	Information
WIKI_CATEGORY_METINSTONES	Metinstone
GUILD_DIAMANT_OVEN	Diamantofen
GUILD_FOSSIL_OVEN	Fossilholzofen
GUILD_COPPER_OVEN	Kupferofen
GUILD_SILVER_OVEN	Silberofen
GUILD_GOLD_OVEN	Goldofen
GUILD_JADE_OVEN	Jadeofen
GUILD_EBONY_OVEN	Ebenholzofen
GUILD_PEARL_OVEN	Perlenofen
GUILD_WHITEGOLD_OVEN	Weißgoldofen
GUILD_KRISTALL_OVEN	Kristallofen
GUILD_QUARZ_OVEN	Quarzofen
GUILD_TEARS_OVEN	Himmelstränenofen
GUILD_SOULCRISTAL_OVEN	Seelenkristallofen
GUILD_RUBIN_OVEN	Rubinofen
GUILD_GRANAT_OVEN	Granatofen
GUILD_SMARAGD_OVEN	Smaragdofen
GUILD_SAPHIR_OVEN	Saphirofen
GUILD_TURMALIN_OVEN	Turmalinofen
GUILD_WEAPON_BLACKSMITH	Waffenschmiede
GUILD_ARMOR_BLACKSMITH	Rüstungsschmiede
GUILD_JUWELER_BLACKSMITH	Juwelier
WIKI_CATEGORY_MONSTERS	Monster
WIKI_CATEGORY_SYSTEMS	Systems
WIKI_CHESTINFO_CONTENTOF	Content of %s
WIKI_CHESTINFO_ORIGIN	Origin
WIKI_ITEMINFO_OPTAINEDFROM	Available at
WIKI_MONSTERINFO_DEFENSE	Defence:
WIKI_MONSTERINFO_DROPLISTOF	Droplist of %s
WIKI_MONSTERINFO_DMG_HP	Min. Damage:%d | Max. Damage:%d | Max. HP: %d
WIKI_MONSTERINFO_GOLD_EXP	Min. Yang: %d | Max. Yang: %d | EXP: %d
WIKI_MONSTERINFO_LEVEL	Level: %d
WIKI_MONSTERINFO_NO_RACE	No
WIKI_MONSTERINFO_RACE_ANIMAL	Animals
WIKI_MONSTERINFO_RACE_UNDEAD	Undead
WIKI_MONSTERINFO_RACE_DEVIL	Devil
WIKI_MONSTERINFO_RACE_HUMAN	Half Humans
WIKI_MONSTERINFO_RACE_ORC	Orcs
WIKI_MONSTERINFO_RACE_MILGYO	Esoteric
WIKI_MONSTERINFO_RACE_ELEC	Lightning
WIKI_MONSTERINFO_RACE_FIRE	Fire
WIKI_MONSTERINFO_RACE_ICE	Ice
WIKI_MONSTERINFO_RACE_WIND	Wind
WIKI_MONSTERINFO_RACE_EARTH	Earth
WIKI_MONSTERINFO_RACE_DARK	Darkness
WIKI_MONSTERINFO_RACE_METIN	Metinstone
WIKI_MONSTERINFO_RESIST_BELL	Bell defence %d
WIKI_MONSTERINFO_RESIST_BOW	Arrow Defence %d
WIKI_MONSTERINFO_RESIST_DAGGER	Dagger defence %d
WIKI_MONSTERINFO_RESIST_FAN	Fan defence %d
WIKI_MONSTERINFO_RESIST_MAGIC	Magic resistance %d
WIKI_MONSTERINFO_RESIST_SWORD	Sword defence %d
WIKI_MONSTERINFO_RESIST_TWOHAND	Two-Handed defence %d
WIKI_MONSTERINFO_STATISTICS	Statistics of %s
WIKI_MONSTERINFO_STATISTICS_TYPE	Race: %s | Class: %s
WIKI_REFINEINFO_ITEM_LEVEL	Level %d - Refine Range %d~%d
WIKI_REFINEINFO_ITEM_LEVEL_RANGE	Level %d~%d - Refine Range %d~%d
WIKI_REFINEINFO_NEXT_ITEM	Next item
WIKI_REFINEINFO_YANG_COSTS	Yang costs
WIKI_SEARCH_ITEM_OVERLAY_TEXT	Item name...
WIKI_SEARCH_MOB_OVERLAY_TEXT	Mob name...
WIKI_SUBCATEGORY_ARMOR	Armor
WIKI_SUBCATEGORY_BATTLEPASS	Battle-Pass
WIKI_SUBCATEGORY_BELTS	Belts
WIKI_SUBCATEGORY_BIOLOG	Biolog
WIKI_SUBCATEGORY_BOSS_CHESTS	Boss chests
WIKI_SUBCATEGORY_BRACELET	Bracelet
WIKI_SUBCATEGORY_COMPANION	Companions
WIKI_SUBCATEGORY_COSTUME_ACCE	Costume Acce
WIKI_SUBCATEGORY_DUNGEON_CHESTS	Dungeon chests
WIKI_SUBCATEGORY_EARRINGS	Earrings
WIKI_SUBCATEGORY_EVENTS	Events
WIKI_SUBCATEGORY_EVENT_CHESTS	Event chests
WIKI_SUBCATEGORY_GAME_RULES	Game rules
WIKI_SUBCATEGORY_HAIRSTYLES	Hairstyles
WIKI_SUBCATEGORY_HELMET	Helmets
WIKI_SUBCATEGORY_LV1_99	Lv 1-99
WIKI_SUBCATEGORY_LV99_120	Lv 99-120
WIKI_SUBCATEGORY_LV120	Lv 120+
WIKI_SUBCATEGORY_MOUNT	Mount
WIKI_SUBCATEGORY_NECKLACE	Necklace
WIKI_SUBCATEGORY_OTHER_CHESTS	Other chests
WIKI_SUBCATEGORY_PET	Pet
WIKI_SUBCATEGORY_PENDANT	Pendant
WIKI_SUBCATEGORY_SHIELD	Shields
WIKI_SUBCATEGORY_SHOES	Shoes
WIKI_SUBCATEGORY_SKILL_COLOR	Skill color
WIKI_SUBCATEGORY_WEAPONS	Weapons
WIKI_TITLE	Wikipedia
WIKI_UNKOWN_ITEM	Unknown item: %d
WIKI_UNKOWN_MOB	Unknown mob: %d
NEW_AFFECT_AUTO_HUNT	Auto Hunt	SNA
OTO_SATIS	|Eemoji/key_ctrl|e + |Eemoji/key_x|e + |Eemoji/key_rclick|e - Otomatik Sat.
OTOMATIK_SAT_UYARI	<Otomatik Satma> 1 den fazla itemi ekleyemezsin, önce itemi ayır!
OTOMATIK_SAT_UYARI_SANDIK	<Otomatik Satma> Sandıkları otomatik satmaya ekleyemezsin!
POSSIBLE_ORE	Suitable Ore:
