ACCE_ABSORB_CHANCE	Rata absorbției: %d%%
TOOLTIP_MALL_ITEMBONUS_STATIC	Șansă dublă drop obiecte	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Punctele de dragoste cresc mai repede.	SNA
TOOLTIP_MALL_SAFEBOX	Mai mult spațiu de depozitare stă la dispoziție.	SNA
TOOLTIP_MAX_HP	Max. PV +%d	SA
TOOLTIP_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_MAX_SP	Max. PM +%d	SA
TOOLTIP_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_MAX_STAMINA	Rezistență max. +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Atac cu arma/magic +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	EROARE-GPS(%d, %d)
TOOLTIP_MOV_SPEED	Viteză de mișcare %d%%	SA
TOOLTIP_MULTI_FARM_EXTRA_ACCOUNT	Cont extra: (+%d)
TOOLTIP_NECK	Colier
TOOLTIP_NEED_ALL_SP	PM necesare: Max.
TOOLTIP_NEED_GSP	Spirit Dragon necesar: %d
TOOLTIP_NEED_HP	PV necesare: %d
TOOLTIP_NEED_HP_PER_SEC	PV/Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Puncte de calificare necesare:
TOOLTIP_NEED_SP	PM necesare: %d
TOOLTIP_NEED_SP_PER_SEC	SP/Sec.: %d
TOOLTIP_NEW_AFFECT_AUTO_PICK_UP	Colectare automată	SNA
TOOLTIP_NEW_AFFECT_PREMIUM_ACCOUNT	Cont premium	SNA
TOOLTIP_NEXT_SKILL_LEVEL_1	Nivelul următor: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Nivelul următor: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Paguba medie %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Rezistență la pagubă medie %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Peste %d membri ai grupei
TOOLTIP_PARTY_INFO_GRADE_UP2	Categoria de atac +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Categoria de apărare +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odată în 60 de minute.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odată în 30 de minute.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Trebuie să aștepți 3 minute după moartea membrului grupei.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Poți striga încoace oricând membri ai grupei de pe același server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Categoria de atac +(Membri grupei/2) %d atacatorii pot fi aleși.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivelul de apărare +(Numărul Membri grupei) luptătorii cu sabia 1 pot fi aleși.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atac/apărare îmbunătățit]
TOOLTIP_PARTY_TITLE_HEAL	[Reface]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mai mult de %d membri ai grupei oferă %d%% EXP-bonus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Strigă încoace]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Stabilește atacatorul]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Stabilește luptător cu sabia]
TOOLTIP_PICK_EXP	Puncte: %d / %d
TOOLTIP_PICK_LEVEL	Nivel: %d
TOOLTIP_PICK_UPGRADE1	Dă-o tăietorului de lemne
TOOLTIP_PICK_UPGRADE2	pentru a realiza din ea
TOOLTIP_PICK_UPGRADE3	Târnăcop
TOOLTIP_POTION_CURE	Anulează efectele negative.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Viteză de atac +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	PV +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	PV +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Viteză de mișcare +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durată: 
TOOLTIP_POTION_UNLIMITED	Durată: Nelimitat
TOOLTIP_REQUIREMENT_21_LEVEL	Trebuie să fi atins nivelul 21
TOOLTIP_REQUIREMENT_41_LEVEL	Trebuie să fi atins nivelul 41
TOOLTIP_REQUIREMENT_LEVEL	Trebuie să fi atins nivelul %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s nivelul %d necesar
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necesar
TOOLTIP_RESIST_BOW	Rezistență la săgeți %d%%	SA
TOOLTIP_RESIST_DARK	Rezistență la întunecare +%d%%	SA
TOOLTIP_RESIST_EARTH	Rezistență pământ +%d%%	SA
TOOLTIP_RESIST_ELEC	Rezistență la fulger %d%%	SA
TOOLTIP_RESIST_FIRE	Rezistență la foc %d%%	SA
TOOLTIP_RESIST_ICE	Rezistență gheață +%d%%	SA
TOOLTIP_RESIST_MAGIC	Rezistență la magie %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Rămas: %d
TOOLTIP_SEALED	Personalizat
TOOLTIP_SELLPRICE	Preț: %s
TOOLTIP_SHAMAN	Șaman
TOOLTIP_SHIELD	Scut
TOOLTIP_SHOES	Papuci
TOOLTIP_SKILL	Competență	SNA
TOOLTIP_SKILLBOOK_NAME	Cartea competenței
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valoarea atacului: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valoarea atacului:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Viteză de atac: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Apărare:
TOOLTIP_SKILL_AFFECT_DODGE	Valoarea atacului inamic: -
TOOLTIP_SKILL_AFFECT_HEAL	Reînnoiește PV:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Viteză de mișcare: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Șansa de a evita un atac corporal:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Rezistență la paguba corporală:
TOOLTIP_SKILL_COOL_TIME	Re-încărcare: 
TOOLTIP_SKILL_DAMAGE_BONUS	Paguba competenței %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Rezistență la paguba competenței %d%%	SA
TOOLTIP_SKILL_DURATION	Durată: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Banderola uitării
TOOLTIP_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nivel actual: %d (Maestru)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nivel actual: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Gol
TOOLTIP_SOCKET_REFINABLE_ITEM	[Obiect cu suport]
TOOLTIP_SP_REGEN	Regenerare PM +%d%%	SA
TOOLTIP_STR	Putere +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Timp de încărcare %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Timp de încărcare %d%%	SA
TOOLTIP_UNIQUE	Unic
TOOLTIP_WARRIOR	Războinic
TOOLTIP_WEAPON	Armă
TOOLTIP_WRISTLET	Brățară
TRACK_BOSS_COOLDOWN_FIELD	Hartă: %s
TRACK_BOSS_INFORMATION	World Boss
TRACK_BOSS_INFORMATION_NOTICE	Notificare World Boss
TRACK_BOSS_LEVEL_FIELD	Nivel recomandat: %d - %d
TRACK_BOSS_PARTY_FIELD	Timp așteptare: %s
TRACK_BOSS_READY	[WorldBoss] %s este disponibil!
TRACK_DUNGEON_COOLDOWN_FIELD	Timp așteptare: %s
TRACK_DUNGEON_INFORMATION	Temnițe
TRACK_DUNGEON_INFORMATION_NOTICE	Notificare Temnițe
TRACK_DUNGEON_KEY	Cheie
TRACK_DUNGEON_LEVEL_FIELD	Nivel: %d - %d
TRACK_DUNGEON_PARTY_FIELD	Grupă: %s
TRACK_DUNGEON_PARTY_NEED	Da
TRACK_DUNGEON_PARTY_NOT_NEED	Nu
TRACK_DUNGEON_READY	[Temniță] %s este disponibil!
TRACK_STATUS_ALIVE	În viață    CH%d
TRACK_STATUS_AVAILABLE	Disponibil
TRACK_STATUS_FIELD	Status: %s
TRACK_STATUS_FIELD_GO_BACK	Mergi înapoi - 
TRACK_WB_1	General Wu
TRACK_WB_2	General You
TRACK_WB_3	General Chou
TRACK_WB_4	General Xu
TRACK_WB_5	General Chen
TRACK_WB_6	Dune Guardian
TRACK_WINDOW_TITLE	Informații Temnițe și World Boss
UI_ACCEPT	Acceptă
UI_CANCEL	Anulează
UI_CLOSE	Închide
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_SLARGE	Tahoma:13
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_XLARGE	Tahoma:20
UI_DEF_FONT_XXLARGE	Tahoma:34
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Refuză
UI_ITEM	Obiect
UI_LEFT_TIME	Timp rămas: %d sec.
UI_NEXT	Continuă
UI_NEXTPAGE	Următorul
UI_NOCONTENTS	Niciun conținut
UI_NONAME	Niciun nume
UI_OK	OK
UI_POS_UNKNOWN	Locație necunoscută
UI_PREVPAGE	Înapoi
UI_UNKNOWN	Necunoscut
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload-ul terbuie pornit încă odată
USE_ITEM_FAILURE_PRIVATE_SHOP	Nu poți folosi obiectul dacă ai deschis un magazin.
WIKI_CATEGORY_BOSSES	Șefi
WIKI_CATEGORY_CHESTS	Cufere
WIKI_CATEGORY_COMPANION	Companioni
WIKI_CATEGORY_COSTUMES	Costume
WIKI_CATEGORY_EQUIPEMENT	Echipament
WIKI_CATEGORY_GUIDES	Informații
WIKI_CATEGORY_METINSTONES	Pietre Metin
WIKI_CATEGORY_MONSTERS	Monștri
WIKI_CATEGORY_SYSTEMS	Sisteme
WIKI_CHESTINFO_CONTENTOF	Conținut %s
WIKI_CHESTINFO_ORIGIN	Origine
WIKI_ITEMINFO_OPTAINEDFROM	Disponibil la
WIKI_MONSTERINFO_DEFENSE	Apărare:
WIKI_MONSTERINFO_DROPLISTOF	Informații drop pentru %s
WIKI_MONSTERINFO_DMG_HP	Atac minim: %d | Atac maxim: %d | Max. HP: %d
WIKI_MONSTERINFO_GOLD_EXP	Yang minim: %d | Yang maxim: %d | Experiență: %d
WIKI_MONSTERINFO_LEVEL	Nivel: %d
WIKI_MONSTERINFO_NO_RACE	Nu
WIKI_MONSTERINFO_RACE_ANIMAL	Animale
WIKI_MONSTERINFO_RACE_UNDEAD	Vampiri
WIKI_MONSTERINFO_RACE_DEVIL	Diavol
WIKI_MONSTERINFO_RACE_HUMAN	Semi-om
WIKI_MONSTERINFO_RACE_ORC	Orci
WIKI_MONSTERINFO_RACE_MILGYO	Esoterici
WIKI_MONSTERINFO_RACE_ELEC	Fulger
WIKI_MONSTERINFO_RACE_FIRE	Foc
WIKI_MONSTERINFO_RACE_ICE	Gheață
WIKI_MONSTERINFO_RACE_WIND	Vânt
WIKI_MONSTERINFO_RACE_EARTH	Pământ
WIKI_MONSTERINFO_RACE_DARK	Întuneric
WIKI_MONSTERINFO_RACE_METIN	Pietră metin
WIKI_MONSTERINFO_RESIST_BELL	Apărare clopot %d
WIKI_MONSTERINFO_RESIST_BOW	Rezistență la săgeți %d
WIKI_MONSTERINFO_RESIST_DAGGER	Apărare pumnal %d
WIKI_MONSTERINFO_RESIST_FAN	Apărare evantai %d
WIKI_MONSTERINFO_RESIST_MAGIC	Rezistență la magie %d
WIKI_MONSTERINFO_RESIST_SWORD	Apărare cu sabia %d
WIKI_MONSTERINFO_RESIST_TWOHAND	Apărare cu două-mâini %d
WIKI_MONSTERINFO_STATISTICS	Statistici pentru %s
WIKI_MONSTERINFO_STATISTICS_TYPE	Rasă: %s | Clasă: %s
WIKI_REFINEINFO_ITEM_LEVEL	Nivel %d - Valoare %d~%d
WIKI_REFINEINFO_ITEM_LEVEL_RANGE	Nivel %d~%d - Valoare %d~%d
WIKI_REFINEINFO_NEXT_ITEM	Evoluție
WIKI_REFINEINFO_YANG_COSTS	Cost yang
WIKI_SEARCH_ITEM_OVERLAY_TEXT	Nume item...
WIKI_SEARCH_MOB_OVERLAY_TEXT	Nume mob...
WIKI_SUBCATEGORY_ARMOR	Armuri
WIKI_SUBCATEGORY_BATTLEPASS	Battle-Pass
WIKI_SUBCATEGORY_BELTS	Curele
WIKI_SUBCATEGORY_BIOLOG	Biolog
WIKI_SUBCATEGORY_BOSS_CHESTS	Cufere Șefi
WIKI_SUBCATEGORY_BRACELET	Brățări
WIKI_SUBCATEGORY_COMPANION	Însoțitori
WIKI_SUBCATEGORY_COSTUME_ACCE	Eșarfe
WIKI_SUBCATEGORY_DUNGEON_CHESTS	Cufere Temnițe
WIKI_SUBCATEGORY_EARRINGS	Cercei
WIKI_SUBCATEGORY_EVENTS	Evenimente
WIKI_SUBCATEGORY_EVENT_CHESTS	Cufere Event
WIKI_SUBCATEGORY_GAME_RULES	Regulament
WIKI_SUBCATEGORY_HAIRSTYLES	Frizuri
WIKI_SUBCATEGORY_HELMET	Coifuri
WIKI_SUBCATEGORY_LV1_99	Lv 1-99
WIKI_SUBCATEGORY_LV99_120	Lv 99-120
WIKI_SUBCATEGORY_LV120	Lv 120+
WIKI_SUBCATEGORY_MOUNT	Mount
WIKI_SUBCATEGORY_NECKLACE	Coliere
WIKI_SUBCATEGORY_OTHER_CHESTS	Alte cufere
WIKI_SUBCATEGORY_PET	Animăluțe
WIKI_SUBCATEGORY_PENDANT	Talismane
WIKI_SUBCATEGORY_SHIELD	Scuturi
WIKI_SUBCATEGORY_SHOES	Papuci
WIKI_SUBCATEGORY_SKILL_COLOR	Culori abilități
WIKI_SUBCATEGORY_WEAPONS	Arme
WIKI_TITLE	Wikipedia
WIKI_UNKOWN_ITEM	Item necunoscut: %d
WIKI_UNKOWN_MOB	Mob necunoscut: %d
NEW_AFFECT_AUTO_HUNT	Auto Hunt	SNA
OTO_SATIS	|Eemoji/key_ctrl|e + |Eemoji/key_x|e + |Eemoji/key_rclick|e - Otomatik Sat.
OTOMATIK_SAT_UYARI	<Otomatik Satma> 1 den fazla itemi ekleyemezsin, önce itemi ayır!
OTOMATIK_SAT_UYARI_SANDIK	<Otomatik Satma> Sandıkları otomatik satmaya ekleyemezsin!
GUILD_DIAMANT_OVEN	diamond furnace
GUILD_FOSSIL_OVEN	Fossil wood furnace
GUILD_COPPER_OVEN	Copper furnace
GUILD_SILVER_OVEN	Silver furnace
GUILD_GOLD_OVEN	gold furnace
GUILD_JADE_OVEN	Jade kiln
GUILD_EBONY_OVEN	Ebony kiln
GUILD_PEARL_OVEN	Pearl kiln
GUILD_WHITEGOLD_OVEN	White gold furnace
GUILD_KRISTALL_OVEN	crystal kiln
GUILD_QUARZ_OVEN	quartz furnace
GUILD_TEARS_OVEN	Heavenly tears furnace
GUILD_SOULCRISTAL_OVEN	Soul crystal furnace
GUILD_RUBIN_OVEN	Ruby furnace
GUILD_GRANAT_OVEN	Garnet furnace
GUILD_SMARAGD_OVEN	Emerald furnace
GUILD_SAPHIR_OVEN	Sapphire furnace
GUILD_TURMALIN_OVEN	Tourmaline furnace
GUILD_WEAPON_BLACKSMITH	Weapons forge
GUILD_ARMOR_BLACKSMITH	armor forge
GUILD_JUWELER_BLACKSMITH	Jeweler
POSSIBLE_ORE	Suitable Ore:
